Item ,Placar casa,Placar Fora,Ataques Casa,Ataques Fora,Diff Ataques,Ataques Perigosos Casa ,Ataques Perigosos Fora ,Dif Ataq Perig,Posse de Bola Casa ,Posse de Bola Fora,Dif Posse de Bola,Escanteios Casa ,Escanteios Fora,Total Escanteios ,Chutes No Alvo casa,Chutes No alvo Fora,Total Chutes bi Alvo,Tempo,Minuto Ultimo Escanteio,Minuto do Ultimo Gol,Escanteio Final 
1,0,0,46,59,-13,14,25,-11,36,64,-28,0,2,2,0,3,3,1,26,0,N
2,1,0,55,62,-7,22,25,-3,46,54,-8,1,3,4,1,1,2,1,38,25,N
3,0,2,57,38,19,23,13,10,61,39,22,5,1,6,1,3,4,1,38,32,S
4,0,0,64,37,27,19,11,8,65,35,30,3,0,3,0,1,1,1,35,0,S
5,2,1,66,35,31,16,20,-4,57,43,14,0,2,2,4,2,6,1,13,47,S
6,1,0,16,39,-23,11,25,-14,28,72,-44,0,5,5,1,2,3,1,39,36,S
7,1,0,50,76,-26,17,37,-20,47,53,-6,1,4,5,1,1,2,1,37,45,N
8,1,1,138,79,59,47,31,16,64,36,28,7,1,8,2,4,6,2,80,92,N
9,0,1,62,45,17,35,11,24,60,40,20,5,2,7,0,1,1,1,37,0,S
10,2,0,70,46,24,39,19,20,66,34,32,5,0,5,2,1,3,1,38,28,S
11,1,0,35,51,-16,7,27,-20,46,54,-8,0,5,5,1,1,2,1,37,31,S
12,1,1,46,65,-19,31,46,-15,51,49,2,4,1,5,1,4,5,1,22,15,N
13,0,0,47,46,1,24,33,-9,49,51,-2,1,4,5,1,1,2,1,20,0,N
14,0,1,50,42,8,28,15,13,45,55,-10,1,3,4,0,2,2,1,39,33,N
15,1,0,58,36,22,21,20,1,63,37,26,3,5,8,4,2,6,1,33,7,N
16,1,1,47,49,-2,23,30,-7,41,59,-18,0,3,3,2,2,4,1,27,23,N
17,1,1,67,133,-66,55,81,-26,36,64,-28,4,11,15,3,4,7,2,85,20,S
18,1,1,74,87,-13,29,31,-2,44,56,-12,4,2,6,2,2,4,1,39,40,S
19,0,1,69,94,-25,45,53,-8,45,55,-10,4,3,7,4,2,6,1,37,40,S
20,1,1,105,73,32,47,24,23,52,48,4,2,4,6,4,2,6,2,77,72,N
21,1,2,63,92,-29,27,57,-30,44,56,-12,1,15,16,3,8,11,2,82,73,N
22,1,0,54,36,18,18,9,9,65,35,30,6,1,7,2,0,2,1,30,24,S
23,1,1,112,74,38,42,36,6,56,44,12,5,6,11,6,3,9,2,88,66,N
24,2,3,96,96,0,39,48,-9,44,56,-12,2,4,6,4,4,8,2,81,75,S
25,0,0,29,34,-5,23,12,11,50,50,0,2,2,4,2,0,2,1,23,0,S
26,3,4,113,64,49,51,29,22,52,48,4,3,5,8,6,5,11,2,79,73,S
27,0,3,56,138,-82,27,58,-31,43,57,-14,3,6,9,0,4,4,2,73,78,N
28,1,1,70,118,-48,27,64,-37,33,67,-34,1,7,8,1,5,6,2,81,81,N
29,2,1,46,30,16,29,11,18,73,27,46,2,1,3,2,1,3,1,35,36,N
30,1,1,67,77,-10,32,27,5,37,63,-26,6,10,16,1,3,4,2,87,65,N
31,2,1,110,93,17,112,57,55,60,40,20,6,3,9,8,6,14,2,73,81,S
32,1,1,115,85,30,78,51,27,61,39,22,8,2,10,3,9,12,2,80,11,S
33,0,1,41,27,14,25,10,15,50,50,0,1,1,2,2,2,4,1,8,17,S
34,0,1,82,51,31,25,24,1,64,36,28,0,2,2,2,2,4,1,20,10,N
35,4,1,105,123,-18,59,37,22,47,53,-6,3,3,6,9,3,12,2,68,62,S
36,1,0,14,32,-18,16,21,-5,42,58,-16,4,2,6,1,0,1,1,31,11,S
37,1,0,55,65,-10,34,31,3,53,47,6,2,2,4,3,0,3,1,28,2,N
38,1,0,26,44,-18,9,31,-22,34,66,-32,0,3,3,1,1,2,1,30,34,S
39,2,0,35,53,-18,29,37,-8,47,53,-6,4,6,10,2,0,2,2,75,76,S
40,1,0,31,37,-6,19,21,-2,58,42,16,3,1,4,4,1,5,1,24,19,S
41,0,1,20,51,-31,18,49,-31,35,65,-30,1,6,7,0,3,3,1,39,40,N
42,0,1,31,40,-9,22,21,1,42,58,-16,3,1,4,0,1,1,1,39,38,N
43,0,0,102,102,0,56,57,-1,48,52,-4,6,3,9,0,2,2,2,87,0,S
44,0,1,134,105,29,96,53,43,57,43,14,9,4,13,2,2,4,2,86,69,N
45,1,1,116,94,22,51,49,2,54,46,8,6,5,11,3,2,5,2,86,60,S
46,1,0,38,42,-4,12,13,-1,21,49,-28,3,3,6,3,4,7,1,38,23,S
47,0,1,40,25,15,22,11,11,64,36,28,3,2,5,2,1,3,1,37,35,N
48,0,0,44,47,-3,22,25,-3,52,48,4,1,2,3,1,2,3,1,25,0,S
49,0,0,36,25,11,47,19,28,70,30,40,5,1,6,1,0,1,1,37,0,S
50,0,1,48,55,-7,30,32,-2,51,49,2,2,1,3,5,3,8,1,17,21,S
51,1,2,39,47,-8,34,20,14,38,62,-24,4,0,4,2,2,4,1,39,39,S
52,0,3,181,141,40,95,75,20,54,46,8,4,2,6,5,6,11,2,87,65,S
53,1,2,39,28,11,14,11,3,61,39,22,5,3,8,2,3,5,1,37,31,S
54,1,0,27,52,-25,7,32,-25,37,63,-26,0,3,3,2,1,3,1,39,5,S
55,0,0,91,65,26,93,79,14,57,43,14,9,4,13,2,6,8,2,86,0,S
56,0,1,113,73,40,95,31,64,64,36,28,14,1,15,5,1,6,2,86,11,S
57,1,1,145,115,30,57,33,24,56,44,12,2,4,6,3,2,5,2,76,64,S
58,1,1,55,51,4,36,31,5,49,51,-2,0,4,4,3,6,9,1,38,33,S
59,0,0,39,44,-5,33,18,15,56,44,12,2,1,3,1,0,1,1,30,0,N
60,0,0,33,45,-12,11,21,-10,41,59,-18,2,3,5,1,1,2,1,27,0,N
61,3,1,36,43,-7,10,26,-16,43,57,-14,0,4,4,5,3,8,1,34,35,S
62,0,0,47,41,6,25,19,6,57,43,14,3,1,4,2,3,5,1,39,0,S
63,0,0,69,51,18,44,16,28,57,43,14,4,0,4,3,2,5,1,22,0,S
64,1,1,98,101,-3,57,33,24,51,49,2,6,5,11,2,3,5,2,84,43,S
65,1,0,58,107,-49,32,69,-37,44,56,-12,5,6,11,3,2,5,2,67,17,S
66,4,0,74,55,19,65,40,25,64,36,28,6,3,9,8,3,11,2,0,79,N
67,0,0,57,52,5,32,17,15,49,51,-2,1,0,1,0,1,1,1,31,0,S
68,1,0,112,86,26,70,44,26,53,47,6,4,4,8,4,4,8,2,69,78,N
69,1,1,101,90,11,47,37,10,59,41,18,8,3,11,4,6,10,2,87,71,S
70,0,0,91,63,28,80,57,23,56,44,12,4,1,5,4,1,5,2,59,0,S
71,5,3,77,93,-16,20,46,-26,43,57,-14,1,7,8,9,5,14,2,74,63,S
72,1,0,50,46,4,31,22,9,36,64,-28,0,1,1,2,0,2,1,31,15,N
73,1,0,108,90,18,34,49,-15,47,53,-6,4,9,13,3,2,5,2,83,38,S
74,1,0,40,49,-9,32,30,2,44,56,-12,1,0,1,1,1,2,1,6,29,N
75,3,0,38,16,22,26,8,18,67,33,34,0,0,0,3,1,4,1,0,34,N
76,0,1,20,39,-19,12,32,-20,32,68,-36,1,1,2,0,4,4,1,38,31,S
77,1,1,87,117,-30,61,92,-31,38,62,-24,2,2,4,2,4,6,2,68,58,N
78,7,1,97,44,53,64,28,36,64,36,28,8,2,10,16,4,20,2,87,64,S
79,0,1,55,82,-27,33,70,-37,34,66,-32,2,2,4,0,6,6,2,82,31,N
80,1,0,45,51,-6,19,18,1,54,46,8,0,1,1,2,0,2,1,3,22,N
81,0,1,60,34,26,24,8,16,69,31,38,1,0,1,1,1,2,1,23,21,S
82,0,0,42,31,11,28,25,3,67,33,34,2,2,4,0,0,0,1,34,0,S
83,1,0,56,34,22,37,10,27,77,23,54,3,0,3,3,1,4,1,33,22,N
84,1,0,22,35,-13,14,24,-10,42,58,-16,3,5,8,1,1,2,1,39,9,S
85,0,0,43,41,2,37,14,23,55,45,10,3,0,3,1,0,1,1,22,0,S
86,1,1,28,29,-1,17,15,2,59,41,18,2,1,3,1,2,3,1,36,16,S
87,0,0,10,25,-15,4,17,-13,34,66,-32,1,3,4,0,1,1,1,32,0,S
88,0,1,29,37,-8,11,20,-9,45,55,-10,0,6,6,0,2,2,1,36,37,S
89,2,1,117,82,35,87,49,38,61,39,22,4,4,8,4,3,7,2,85,41,S
90,2,0,89,98,-9,42,40,2,47,53,-6,2,3,5,4,0,4,2,85,40,S
91,5,1,108,63,45,46,20,26,63,37,26,2,1,3,8,1,9,2,49,87,N
92,0,0,104,71,33,74,45,29,63,37,26,5,3,8,1,0,1,2,83,0,N
93,0,0,32,51,-19,13,47,-34,23,77,-54,0,9,9,0,2,2,1,37,0,S
94,0,1,47,42,5,25,33,-8,44,56,-12,0,2,2,1,2,3,1,17,12,S
95,0,0,26,33,-7,12,18,-6,29,71,-42,0,3,3,2,0,2,1,36,0,N
96,1,0,59,42,17,42,22,20,65,35,30,2,3,5,2,0,2,1,34,37,N
97,0,0,58,107,-49,28,88,-60,22,78,-56,0,16,16,0,4,4,2,83,0,N
98,0,1,70,140,-70,25,37,-12,34,66,-32,3,1,4,1,3,4,2,79,13,N
99,2,0,140,73,67,57,22,35,61,39,22,8,4,12,5,1,6,2,85,38,N
100,0,1,82,108,-26,23,42,-19,45,55,-10,3,5,8,1,4,5,2,83,45,N
101,3,0,136,53,83,55,13,42,62,38,24,3,2,5,4,2,6,2,85,48,N
102,0,3,133,63,70,49,22,27,59,41,18,3,2,5,4,7,11,2,50,84,S
103,1,1,59,134,-75,19,63,-44,34,66,-32,6,8,14,3,4,7,2,82,61,N
104,1,1,101,74,27,34,26,8,55,45,10,4,7,11,2,4,6,2,86,56,N
105,2,1,101,70,31,98,47,51,65,35,30,10,2,12,12,1,13,2,86,87,N
106,2,0,39,43,-4,22,34,-12,53,47,6,1,3,4,3,1,4,1,37,14,N
107,0,1,21,67,-46,6,19,-13,27,73,-46,0,0,0,0,1,1,1,0,13,S
108,1,0,67,27,40,29,9,20,66,34,32,3,1,4,2,1,3,1,31,33,S
109,0,0,30,62,-32,6,23,-17,35,65,-30,0,0,0,1,2,3,1,33,0,S
110,0,0,40,43,-3,12,20,-8,48,52,-4,2,1,3,0,1,1,1,39,0,N
111,0,0,62,31,31,26,6,20,58,42,16,3,0,3,1,2,3,1,17,0,S
112,2,0,54,26,28,22,12,10,54,56,-2,1,1,2,2,0,2,1,36,20,S
113,2,0,38,43,-5,16,19,-3,54,46,8,1,4,5,6,1,7,1,19,19,S
